Service_Request_Type,Month,Count_,Request_Category,ObjectId
Dark Area Near Existing Street Light,04 - JAN,0,Street Lights,97
Install a New Street Light,04 - JAN,1,Street Lights,98
Street Light Out,04 - JAN,14,Street Lights,99
Leaning Light Pole,04 - JAN,0,Street Lights,100
Refresh an Existing Marking,04 - JAN,6,Roadway Marking,101
Add a New Marking,04 - JAN,0,Roadway Marking,102
Remove a Marking,04 - JAN,0,Roadway Marking,103
Change Sign Type,04 - JAN,0,Street Signs,104
Install Multi-way Stop,04 - JAN,0,Street Signs,105
Add a Left Turn Indication at a Signal,06 - MAR,1,Traffic Signals,106
School Zone Sign,01 - OCT,0,Street Signs,107
Dumpster Permit,05 - FEB,0,Other,108
Check a Dark Signalized Intersection,06 - MAR,2,Traffic Signals,109
Sign Relocation,01 - OCT,0,Street Signs,110
Handicap Parking,05 - FEB,1,Other,111
Check the Timing of an Approach,06 - MAR,14,Traffic Signals,112
Stop Sign Missing/Damaged,01 - OCT,4,Street Signs,113
Change Speed Limit,05 - FEB,0,Traffic Calming,114
Install a New Signalized Intersection,06 - MAR,0,Traffic Signals,115
Yield Sign Missing/Damaged,01 - OCT,1,Street Signs,116
Dark Area Near Existing Street Light,05 - FEB,0,Street Lights,117
Investigate a Signalized Intersection in Flash,06 - MAR,15,Traffic Signals,118
Traffic Calming Request,01 - OCT,8,Traffic Calming,119
Install a New Street Light,05 - FEB,0,Street Lights,120
Replace a Signal Indication that is Not Working,06 - MAR,4,Traffic Signals,121
Street Light Out,05 - FEB,20,Street Lights,122
Add a Left Turn Indication at a Signal,01 - OCT,0,Traffic Signals,123
Traffic Signal Needing Physical Repair,06 - MAR,3,Traffic Signals,124
Leaning Light Pole,05 - FEB,5,Street Lights,125
Basketball Goal on City ROW,07 - APR,5,Other,126
Check a Dark Signalized Intersection,01 - OCT,3,Traffic Signals,127
Bush or Objects Blocking Sight View,07 - APR,1,Other,128
Check the Timing of an Approach,01 - OCT,6,Traffic Signals,129
Refresh an Existing Marking,05 - FEB,2,Roadway Marking,130
Install a New Signalized Intersection,01 - OCT,0,Traffic Signals,131
Add a New Marking,05 - FEB,0,Roadway Marking,132
Investigate a Signalized Intersection in Flash,01 - OCT,4,Traffic Signals,133
Remove a Marking,05 - FEB,0,Roadway Marking,134
Replace a Signal Indication that is Not Working,01 - OCT,6,Traffic Signals,135
Change Sign Type,05 - FEB,0,Street Signs,136
Traffic Signal Needing Physical Repair,01 - OCT,1,Traffic Signals,137
Install Multi-way Stop,05 - FEB,0,Street Signs,138
Dumpster Permit,07 - APR,0,Other,139
Basketball Goal on City ROW,02 - NOV,0,Other,140
Install New Sign,05 - FEB,8,Street Signs,141
Handicap Parking,07 - APR,0,Other,142
Bush or Objects Blocking Sight View,02 - NOV,4,Other,143
Neighborhood Watch Sign,05 - FEB,0,Street Signs,144
Change Speed Limit,07 - APR,2,Traffic Calming,145
Dumpster Permit,02 - NOV,1,Other,146
Repair Existing Sign,05 - FEB,16,Street Signs,147
Dark Area Near Existing Street Light,07 - APR,0,Street Lights,148
Handicap Parking,02 - NOV,0,Other,149
Replace Missing Sign,05 - FEB,1,Street Signs,150
Install a New Street Light,07 - APR,0,Street Lights,151
Change Speed Limit,02 - NOV,1,Traffic Calming,152
School Zone Sign,05 - FEB,0,Street Signs,153
Street Light Out,07 - APR,15,Street Lights,154
Dark Area Near Existing Street Light,02 - NOV,0,Street Lights,155
Sign Relocation,05 - FEB,0,Street Signs,156
Leaning Light Pole,07 - APR,2,Street Lights,157
Install a New Street Light,02 - NOV,5,Street Lights,158
Stop Sign Missing/Damaged,05 - FEB,2,Street Signs,159
Refresh an Existing Marking,07 - APR,5,Roadway Marking,160
Street Light Out,02 - NOV,18,Street Lights,161
Yield Sign Missing/Damaged,05 - FEB,0,Street Signs,162
Add a New Marking,07 - APR,1,Roadway Marking,163
Leaning Light Pole,02 - NOV,2,Street Lights,164
Traffic Calming Request,05 - FEB,8,Traffic Calming,165
Remove a Marking,07 - APR,1,Roadway Marking,166
Refresh an Existing Marking,02 - NOV,2,Roadway Marking,167
Add a Left Turn Indication at a Signal,05 - FEB,0,Traffic Signals,168
Change Sign Type,07 - APR,0,Street Signs,169
Add a New Marking,02 - NOV,0,Roadway Marking,170
Check a Dark Signalized Intersection,05 - FEB,1,Traffic Signals,171
Install Multi-way Stop,07 - APR,0,Street Signs,172
Remove a Marking,02 - NOV,0,Roadway Marking,173
Check the Timing of an Approach,05 - FEB,13,Traffic Signals,174
Install New Sign,07 - APR,12,Street Signs,175
Change Sign Type,02 - NOV,0,Street Signs,176
Install a New Signalized Intersection,05 - FEB,1,Traffic Signals,177
Neighborhood Watch Sign,07 - APR,0,Street Signs,178
Install Multi-way Stop,02 - NOV,1,Street Signs,179
Investigate a Signalized Intersection in Flash,05 - FEB,4,Traffic Signals,180
Repair Existing Sign,07 - APR,8,Street Signs,181
Install New Sign,02 - NOV,2,Street Signs,182
Replace a Signal Indication that is Not Working,05 - FEB,1,Traffic Signals,183
Replace Missing Sign,07 - APR,0,Street Signs,184
Neighborhood Watch Sign,02 - NOV,0,Street Signs,185
Traffic Signal Needing Physical Repair,05 - FEB,2,Traffic Signals,186
School Zone Sign,07 - APR,0,Street Signs,187
Sign Relocation,07 - APR,0,Street Signs,188
Stop Sign Missing/Damaged,07 - APR,7,Street Signs,189
Yield Sign Missing/Damaged,07 - APR,0,Street Signs,190
Traffic Calming Request,07 - APR,10,Traffic Calming,191
Add a Left Turn Indication at a Signal,07 - APR,0,Traffic Signals,192
Check a Dark Signalized Intersection,07 - APR,6,Traffic Signals,193
Check the Timing of an Approach,07 - APR,14,Traffic Signals,194
Install a New Signalized Intersection,07 - APR,0,Traffic Signals,195
Investigate a Signalized Intersection in Flash,07 - APR,2,Traffic Signals,196
Stop Sign Missing/Damaged,09 - JUN,0,Street Signs,197
Change Sign Type,11 - AUG,0,Street Signs,198
Install Multi-way Stop,11 - AUG,0,Street Signs,199
Install New Sign,11 - AUG,0,Street Signs,200
Neighborhood Watch Sign,11 - AUG,0,Street Signs,201
Repair Existing Sign,11 - AUG,0,Street Signs,202
Replace Missing Sign,11 - AUG,0,Street Signs,203
School Zone Sign,11 - AUG,0,Street Signs,204
Sign Relocation,11 - AUG,0,Street Signs,205
Stop Sign Missing/Damaged,11 - AUG,0,Street Signs,206
Yield Sign Missing/Damaged,11 - AUG,0,Street Signs,207
Traffic Calming Request,11 - AUG,0,Traffic Calming,208
Add a Left Turn Indication at a Signal,11 - AUG,0,Traffic Signals,209
Check a Dark Signalized Intersection,11 - AUG,0,Traffic Signals,210
Check the Timing of an Approach,11 - AUG,0,Traffic Signals,211
Install a New Signalized Intersection,11 - AUG,0,Traffic Signals,212
Investigate a Signalized Intersection in Flash,11 - AUG,0,Traffic Signals,213
Replace a Signal Indication that is Not Working,11 - AUG,0,Traffic Signals,214
Traffic Signal Needing Physical Repair,11 - AUG,0,Traffic Signals,215
Basketball Goal on City ROW,12 - SEP,0,Other,216
Bush or Objects Blocking Sight View,12 - SEP,0,Other,217
Dumpster Permit,12 - SEP,0,Other,218
Handicap Parking,12 - SEP,0,Other,219
Change Speed Limit,12 - SEP,0,Traffic Calming,220
Dark Area Near Existing Street Light,12 - SEP,0,Street Lights,221
Install a New Street Light,12 - SEP,0,Street Lights,222
Street Light Out,12 - SEP,0,Street Lights,223
Leaning Light Pole,12 - SEP,0,Street Lights,224
Refresh an Existing Marking,12 - SEP,0,Roadway Marking,225
Add a New Marking,12 - SEP,0,Roadway Marking,226
Remove a Marking,12 - SEP,0,Roadway Marking,227
Change Sign Type,12 - SEP,0,Street Signs,228
Install Multi-way Stop,12 - SEP,0,Street Signs,229
Install New Sign,12 - SEP,0,Street Signs,230
Neighborhood Watch Sign,12 - SEP,0,Street Signs,231
Repair Existing Sign,12 - SEP,0,Street Signs,232
Replace Missing Sign,12 - SEP,0,Street Signs,233
School Zone Sign,12 - SEP,0,Street Signs,234
Sign Relocation,12 - SEP,0,Street Signs,235
Stop Sign Missing/Damaged,12 - SEP,0,Street Signs,236
Yield Sign Missing/Damaged,12 - SEP,0,Street Signs,237
Traffic Calming Request,12 - SEP,0,Traffic Calming,238
Add a Left Turn Indication at a Signal,12 - SEP,0,Traffic Signals,239
Check a Dark Signalized Intersection,12 - SEP,0,Traffic Signals,240
Check the Timing of an Approach,12 - SEP,0,Traffic Signals,241
Install a New Signalized Intersection,12 - SEP,0,Traffic Signals,242
Investigate a Signalized Intersection in Flash,12 - SEP,0,Traffic Signals,243
