OBJECTID_1,OBJECTID,FACILITYID,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,ORIG_FID,X,Y
79,89,Audubon Park,3174 CLOVERDALE RD,Sun-Sat,Daylight,1.92446561,http://www.funinmontgomery.com/parks-items/Audobon,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/20 00:00:00+00,SLH,shutcheson,2017/11/03 14:21:13+00,ABOWEN,2021/12/02 16:39:56+00,79,-86.29218222,32.3483117
80,89,Cloverdale Road Park,3124 CLOVERDALE RD,Sun-Sat,Daylight,1.85036727,http://www.funinmontgomery.com/parks-items/cloverdale-road-park,0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/20 00:00:00+00,SLH,shutcheson,2017/11/03 14:21:13+00,ABOWEN,2021/12/02 16:39:56+00,80,-86.29242638,32.35017048
81,106,Bark Park,6055 Vaughn Rd,Sun-Sat,Daylight,7.11313332,http://www.funinmontgomery.com/parks-items/bark-park,0,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,shutcheson,2017/11/03 14:28:33+00,ABOWEN,2021/12/02 16:39:56+00,81,-86.20834488,32.3419333
82,,Crump Senior Center,1751 CONG W L DICKINSON DR,Mon-Fri,8:00AM-5:00PM,1.84549616,http://www.funinmontgomery.com/parks-items/crump-senior-center,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 15:03:17+00,ABOWEN,2021/12/02 16:39:56+00,82,-86.26384116,32.40732897
83,,E.D. Nixon Community Center (Goode),1000 Edgar D Nixon Ave,"Mon-
Mon-Fri",8:00AM-5:00PM,1.65449065,http://www.funinmontgomery.com/parks-items/goode-street,,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 15:22:23+00,ABOWEN,2021/12/02 16:39:56+00,83,-86.31428545,32.3634274
84,105,AUM/Ron Nunn Complex,250 BROWN SPRINGS RD,Sun-Sat,Daylight,27.77297621,http://www.funinmontgomery.com/parks-items/aum-ron-nunn-montgomery-east,300,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,5,2,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,shutcheson,2017/11/03 16:26:27+00,ABOWEN,2021/12/02 16:39:56+00,84,-86.1832935,32.37479859
85,,Fairview Environmental Park,750 W Fairview Ave,Sun-Sat,Daylight,3.10373375,http://www.funinmontgomery.com/parks-items/fairview-environmental-park,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:36:21+00,ABOWEN,2021/12/02 16:39:56+00,85,-86.3196421,32.35222288
86,,Harriot II,255 Commerce St,Mon-Fri,8:00AM-5:00PM,0.13515902,http://www.funinmontgomery.com/parks-items/harriot-ii-riverboat,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:45:07+00,ABOWEN,2021/12/02 16:39:56+00,86,-86.31390223,32.38216385
87,,Milo Howard Park,1800 Galena Ave,Sun-Sat,Daylight,0.07561464,http://www.funinmontgomery.com/parks-items/milo-haward-park,,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:52:00+00,ABOWEN,2021/12/02 16:39:56+00,87,-86.29535678,32.35616903
88,102,Multiplex at Cramton Bowl ,220 HALL ST,Mon-Fri,8:00AM-5:00PM,2.75814596,http://www.funinmontgomery.com/parks-items/multiplex-at-cramton-bowl,0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,2013/08/29 00:00:00+00,SLH,shutcheson,2017/11/03 16:59:42+00,ABOWEN,2021/12/02 16:39:56+00,88,-86.2929517,32.37838791
89,146,Riverfront Amphitheater,335 COOSA ST,Sun-Sat,Daylight,3.43980347,http://www.funinmontgomery.com/parks-items/riverwalk-amphitheater,0,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013/08/27 00:00:00+00,SLH,shutcheson,2017/11/03 17:17:44+00,ABOWEN,2021/12/02 16:39:56+00,89,-86.31246847,32.38298448
90,,Union Station Train Shed,300 WATER ST,Mon-Fri,8:00AM-5:00PM,2.63350892,http://www.funinmontgomery.com/parks-items/union-station-train-shed,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N ,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 17:29:20+00,ABOWEN,2021/12/02 16:39:56+00,90,-86.31430729,32.3804616
91,113,Therapeutic Recreation Center,604 AUGUSTA AVE,Mon-Fri,8:00AM-5:00PM,2.63897632,http://www.funinmontgomery.com/parks-items/therapeudic-recreation,60,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,2013/08/29 00:00:00+00,SLH,shutcheson,2017/11/03 17:40:38+00,ABOWEN,2021/12/02 16:39:56+00,91,-86.2977552,32.34102755
92,140,W.A. Gayle Planetarium,1010 FOREST AVE,Mon-Fri,8:00AM-5:00PM,0.84144595,http://www.funinmontgomery.com/parks-items/w-a-gayle-planetarium,0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,2013/08/27 00:00:00+00,SLH,shutcheson,2017/11/03 18:03:19+00,ABOWEN,2021/12/02 16:39:56+00,92,-86.28734822,32.36807907
93,,Regency Park Community Center,5995 CHRISTY AVE,Sun-Sat,Daylight,17.34142735,,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,1,1,Y,N,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 18:10:09+00,ABOWEN,2021/12/02 16:39:56+00,93,-86.22311938,32.30770932
94,,Lower Dexter Park,29 DEXTER AVE,Sun-Sat,Daylight,0.08795697,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2018/06/15 00:00:00+00,SLH,shutcheson,2018/06/15 18:49:42+00,ABOWEN,2021/12/02 16:39:56+00,94,-86.30837031,32.37779765
95,172,Rotary Dog Park,98 COOSA ST,Sun-Sat,Daylight,0.61481407,http://www.funinmontgomery.com/parks-items/rotary-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/27 00:00:00+00,SLH,shutcheson,2018/06/26 19:33:08+00,ABOWEN,2021/12/02 16:39:56+00,95,-86.3089924,32.37937005
96,,Shady Street Trailhead Park,1037 Walker St,,,3.61239109,,,,,,,,,,,,,,,,,,,,,,,,,2021/12/02 00:00:00+00,ANB - New Park Under Construction,ABOWEN,2021/12/02 16:04:48+00,ABOWEN,2021/12/08 16:59:01+00,96,-86.31387685,32.39320018
