X,Y,OBJECTID,FACILITYID,Type,FULLADDR,last_edited_user,Description,ImageSource
512861.937080643,669935.663366298,129,Montgomery Therapeutic Recreation Center,Recreation,604 AUGUSTA AVE,HNAM,"The Therapeutic Recreation Center, one of Montgomery’s proudest accomplishments, makes recreation accessible to our city’s special population. The 26,000-square-foot facility is barrier-free and features a large gymnasium, indoor and outdoor swimming pools, weight room, game room, meeting rooms, locker rooms and a kitchen. The center also includes a greenhouse, a patio and a fully accessible playground area. Through innovative programs, such as a spring prom and Special Olympics competition, TRC staff members bring recreation opportunities to those who otherwise might not be able to participate.",Montgomery Therapeutic Recreation Center
508972.908316716,683393.648842002,130,Smash It Rage Room,Recreation,17 COMMERCE ST,HNAM,"Unleash Your Stress at Smash It Rage Room Conveniently located at 17 Commerce St, Montgomery, Alabama, Smash It Rage Room offers a range of services guaranteed to help you release pent-up frustration and stress. At Smash It, you have the option to choose from various services tailored to suit your needs.",Smash It Rage Room
550874.204956342,635748.814489454,131,Cottonwood Golf Club - Driving Range,Recreation,7160 BRYON NELSON BLVD,HNAM,"Golf club offering a course with challenging holes, plus a driving range.",Cottonwood Golf Club - Driving Range
508071.727777568,684619.21199518,132,Sip-n-Cycle Pedal Cruise,Recreation,355 COMMERCE ST,HNAM,"Sip-n-Cycle Pedal Cruise is a 20 passenger, BYOB, party boat that has 12 pedal stations seated around a central bar, a Captain and First Mate.",Sip-n-Cycle Pedal Cruise
538194.517881429,674854.835444588,133,Bowlero Montgomery,Recreation,1661 EASTERN BLVD,HNAM,"Bowling alley chain featuring billiards, arcade games & snacks; some locations offer laser tag.",Bowlero Montgomery
556196.408886419,676916.282835753,134,Wine & Design,Recreation,7732 EASTCHASE PKWY,HNAM,Wine & Design is the perfect place to unwind and have fun.,Wine & Design
514882.673762392,674145.911702639,136,Capri Theatre,Theatre,1045 E FAIRVIEW AVE,HNAM,"Historic nonprofit theater showing independent, foreign & classic films with beer & wine available.",Capri Theatre
540880.654288481,685775.449479204,137,Eastdale Mall Cinemas,Theatre,1001 EASTDALE CIR,HNAM,"Movie theater at Eastdale Mall offering digital projection, rocker seats, and a casual atmosphere.",Cinema Treasures
508405.805010137,683990.29880417,138,Montgomery Performing Arts Centre,Theatre,201 TALLAPOOSA ST,HNAM,"The Montgomery Performing Arts Centre is a 1,800 seat, state of the art facility in Montgomery, AL",Montgomery Performing Arts Centre
549899.174554484,669792.147758009,139,AMC Festival Plaza 16,Theatre,7925 VAUGHN RD,HNAM,"Cineplex with 3D & jumbo digital screens showing first-run films, opera productions & sports events.",AMC
563952.087608142,676731.700234365,140,AMC Chantilly 13,Theatre,10477 CHANTILLY PKWY,HNAM,"Cineplex with 3D & jumbo digital screens showing first-run films, opera productions & sports events.",AMC
514336.794959788,674139.728178287,141,The Cloverdale Playhouse,Theatre,960 CLOVERDALE RD,HNAM,"The Cloverdale Playhouse is a community-based performing arts center in Montgomery, Alabama.",JoshCarples
513401.102589041,678758.388443118,143,ASU Theater & Tullibody Fine Arts Hall,Theatre,915 S JACKSON ST,HNAM,"Drama theater in Montgomery, Alabama",ASU Theater & Tullibody Fine Arts Hall
537666.81785616,684112.31635838,144,Faulkner University Dinner Theatre,Theatre,5346 ATLANTA HWY,HNAM,"Dinner theater in Montgomery, Alabama",Faulkner University Dinner Theatre
549847.904886214,680116.818538163,145,Theatre AUM,Theatre,"WATSON ROBBINS TAYLOR CENTER, 7041 SENATORS DR",HNAM,"By nurturing the art of live theatre, the mission of Theatre AUM is to provide access for comprehensive training in all areas of theatre artistry and to develop a well-rounded, engaged ensemble of emerging arts by developing skills in the classroom and offering an annual season of diverse classical and contemporary productions.",Theatre AUM
508709.0453638,684109.400390581,146,Escapology Escape Rooms,Recreation,130 COMMERCE ST #700,HNAM,Amusement center challenging visitors to solve puzzles and escape from themed rooms within a time limit.,Escapology Escape Rooms
502580.250878803,647780.021198318,147,Hyundai Motor Manufacturing Factory Tour,Museum,700 HYUNDAI BLVD,HNAM,Experience one of the world’s most advanced automotive plants and watch Alabama Team Members and amazing robots assemble Hyundai and Genesis vehicles.,Hyundai Motor Manufacturing Factory Tour
