OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
2090,06/07,,,Out-of-Market Visitors,96148,107332
2091,06/07,,,Residents,142246,149573
2092,06/07,,,Total,253163,285699
2093,06/08,,,Inbound Commuters,12302,15345
2094,06/08,,,Out-of-Market Visitors,75648,104790
2095,06/08,,,Residents,144352,143578
2096,06/08,,,Total,232302,263713
2097,06/09,,,Inbound Commuters,28479,12671
2098,06/09,,,Out-of-Market Visitors,77931,80526
2099,06/09,,,Residents,143879,148817
2100,06/09,,,Total,250289,242014
2101,06/10,,,Inbound Commuters,28535,29748
2102,06/10,,,Out-of-Market Visitors,79609,83222
2103,06/10,,,Residents,144345,150457
2104,06/10,,,Total,252489,263427
2105,06/11,,,Inbound Commuters,29656,30215
2106,06/11,,,Out-of-Market Visitors,81521,77266
2107,06/11,,,Residents,143643,150798
2108,06/11,,,Total,254820,258279
2109,06/12,,,Inbound Commuters,29137,30601
2110,06/12,,,Out-of-Market Visitors,92886,81787
2111,06/12,,,Residents,144447,150269
2112,06/12,,,Total,266470,262657
2113,06/13,,,Inbound Commuters,27081,30695
2114,06/13,,,Out-of-Market Visitors,100379,92527
2115,06/13,,,Residents,146270,149517
2116,06/13,,,Total,273730,272739
2117,06/14,,,Inbound Commuters,13507,28271
2118,06/14,,,Out-of-Market Visitors,116161,113045
2119,06/14,,,Residents,141915,148264
2120,06/14,,,Total,271583,289580
2121,06/15,,,Inbound Commuters,12418,14198
2122,06/15,,,Out-of-Market Visitors,91638,113547
2123,06/15,,,Residents,144236,144569
2124,06/15,,,Total,248292,272314
2125,06/16,,,Inbound Commuters,28753,12241
2126,06/16,,,Out-of-Market Visitors,88455,95837
2127,06/16,,,Residents,145210,148595
2128,06/16,,,Total,262418,256673
2129,06/17,,,Inbound Commuters,29973,30508
2130,06/17,,,Out-of-Market Visitors,94999,85712
2131,06/17,,,Residents,143747,150477
2132,06/17,,,Total,268719,266697
2133,06/18,,,Inbound Commuters,30326,31670
2134,06/18,,,Out-of-Market Visitors,94765,87728
2135,06/18,,,Residents,143988,149622
2136,06/18,,,Total,269079,269020
2137,06/19,,,Inbound Commuters,22169,24545
2138,06/19,,,Out-of-Market Visitors,94111,88408
2139,06/19,,,Residents,143082,150195
2140,06/19,,,Total,259362,263148
2141,06/20,,,Inbound Commuters,25865,29143
2142,06/20,,,Out-of-Market Visitors,104389,98674
2143,06/20,,,Residents,143268,151622
2144,06/20,,,Total,273522,279439
2145,06/21,,,Inbound Commuters,13669,28170
2146,06/21,,,Out-of-Market Visitors,117849,117071
2147,06/21,,,Residents,138303,148317
2148,06/21,,,Total,269821,293558
2149,06/22,,,Inbound Commuters,12330,14773
2150,06/22,,,Out-of-Market Visitors,100695,116290
2151,06/22,,,Residents,144833,144456
2152,06/22,,,Total,257858,275519
2153,06/23,,,Inbound Commuters,27833,12732
2154,06/23,,,Out-of-Market Visitors,83301,91158
2155,06/23,,,Residents,146049,149954
2156,06/23,,,Total,257183,253844
2157,06/24,,,Inbound Commuters,29199,29385
2158,06/24,,,Out-of-Market Visitors,83950,78944
2159,06/24,,,Residents,145450,151297
2160,06/24,,,Total,258599,259626
2161,06/25,,,Inbound Commuters,28836,30326
2162,06/25,,,Out-of-Market Visitors,91865,80225
2163,06/25,,,Residents,147350,151140
2164,06/25,,,Total,268051,261691
2165,06/26,,,Inbound Commuters,28498,30185
2166,06/26,,,Out-of-Market Visitors,89577,86944
2167,06/26,,,Residents,146407,149899
2168,06/26,,,Total,264482,267028
2169,06/27,,,Inbound Commuters,26866,28591
2170,06/27,,,Out-of-Market Visitors,111308,95514
2171,06/27,,,Residents,144940,150785
2172,06/27,,,Total,283114,274890
2173,06/28,,,Inbound Commuters,13976,25985
2174,06/28,,,Out-of-Market Visitors,120945,110004
2175,06/28,,,Residents,139464,148724
2176,06/28,,,Total,274385,284713
2177,06/29,,,Inbound Commuters,11478,12422
2178,06/29,,,Out-of-Market Visitors,88881,117964
2179,06/29,,,Residents,144941,144453
2180,06/29,,,Total,245300,274839
2181,06/30,,,Inbound Commuters,25885,11915
2182,06/30,,,Out-of-Market Visitors,89204,90038
2183,06/30,,,Residents,146939,149739
2184,06/30,,,Total,262028,251692
2185,07/01,,,Inbound Commuters,26771,28316
2186,07/01,,,Out-of-Market Visitors,88176,85869
2187,07/01,,,Residents,148163,150654
2188,07/01,,,Total,263110,264839
2189,07/02,,,Inbound Commuters,27185,28362
2190,07/02,,,Out-of-Market Visitors,97421,87408
2191,07/02,,,Residents,146253,149918
2192,07/02,,,Total,270859,265688
2193,07/03,,,Inbound Commuters,25278,27322
2194,07/03,,,Out-of-Market Visitors,115026,97770
2195,07/03,,,Residents,142421,150035
2196,07/03,,,Total,282725,275127
2197,07/04,,,Inbound Commuters,9147,10806
2198,07/04,,,Out-of-Market Visitors,67162,64130
2199,07/04,,,Residents,134401,142873
2200,07/04,,,Total,210710,217809
2201,07/05,,,Inbound Commuters,10783,18014
2202,07/05,,,Out-of-Market Visitors,99736,89000
2203,07/05,,,Residents,135540,141900
2204,07/05,,,Total,246059,248914
2205,07/06,,,Inbound Commuters,12240,12108
2206,07/06,,,Out-of-Market Visitors,103741,112198
2207,07/06,,,Residents,145247,142992
2208,07/06,,,Total,261228,267298
2209,07/07,,,Inbound Commuters,27669,11949
2210,07/07,,,Out-of-Market Visitors,83229,94084
2211,07/07,,,Residents,146961,151525
2212,07/07,,,Total,257859,257558
2213,07/08,,,Inbound Commuters,29168,27561
2214,07/08,,,Out-of-Market Visitors,82161,89006
2215,07/08,,,Residents,148193,150677
2216,07/08,,,Total,259522,267244
2217,07/09,,,Inbound Commuters,28654,28212
2218,07/09,,,Out-of-Market Visitors,87320,75003
2219,07/09,,,Residents,146312,151332
2220,07/09,,,Total,262286,254547
2221,07/10,,,Inbound Commuters,28703,28753
2222,07/10,,,Out-of-Market Visitors,91990,83106
2223,07/10,,,Residents,147086,151135
2224,07/10,,,Total,267779,262994
2225,07/11,,,Inbound Commuters,26880,29271
2226,07/11,,,Out-of-Market Visitors,103314,94581
2227,07/11,,,Residents,145600,150770
2228,07/11,,,Total,275794,274622
2229,07/12,,,Inbound Commuters,13958,26415
2230,07/12,,,Out-of-Market Visitors,112578,103369
2231,07/12,,,Residents,140455,150668
2232,07/12,,,Total,266991,280452
2233,07/13,,,Inbound Commuters,11520,12976
2234,07/13,,,Out-of-Market Visitors,90703,108984
2235,07/13,,,Residents,145025,145072
2236,07/13,,,Total,247248,267032
2237,07/14,,,Inbound Commuters,27733,12949
2238,07/14,,,Out-of-Market Visitors,81869,91481
2239,07/14,,,Residents,146431,151675
2240,07/14,,,Total,256033,256105
2241,07/15,,,Inbound Commuters,28969,28709
2242,07/15,,,Out-of-Market Visitors,84335,88178
2243,07/15,,,Residents,148136,151694
2244,07/15,,,Total,261440,268581
2245,07/16,,,Inbound Commuters,29302,29889
2246,07/16,,,Out-of-Market Visitors,80961,89944
2247,07/16,,,Residents,147736,151617
2248,07/16,,,Total,257999,271450
2249,07/17,,,Inbound Commuters,28283,29209
2250,07/17,,,Out-of-Market Visitors,79515,95273
2251,07/17,,,Residents,149015,151215
2252,07/17,,,Total,256813,275697
2253,07/18,,,Inbound Commuters,26449,29506
2254,07/18,,,Out-of-Market Visitors,102561,101917
2255,07/18,,,Residents,145579,151010
2256,07/18,,,Total,274589,282433
2257,07/19,,,Inbound Commuters,13475,28073
2258,07/19,,,Out-of-Market Visitors,117185,106215
2259,07/19,,,Residents,140889,150210
2260,07/19,,,Total,271549,284498
2261,07/20,,,Inbound Commuters,13059,13512
2262,07/20,,,Out-of-Market Visitors,89917,116035
2263,07/20,,,Residents,144331,144246
2264,07/20,,,Total,247307,273793
2265,07/21,,,Inbound Commuters,28062,12538
2266,07/21,,,Out-of-Market Visitors,85879,91067
2267,07/21,,,Residents,147105,148694
2268,07/21,,,Total,261046,252299
2269,07/22,,,Inbound Commuters,28229,28524
2270,07/22,,,Out-of-Market Visitors,82244,79990
2271,07/22,,,Residents,146279,149343
2272,07/22,,,Total,256752,257857
2273,07/23,,,Inbound Commuters,28587,29699
2274,07/23,,,Out-of-Market Visitors,88629,67139
2275,07/23,,,Residents,147808,149086
2276,07/23,,,Total,265024,245924
2277,07/24,,,Inbound Commuters,27769,28329
2278,07/24,,,Out-of-Market Visitors,90274,88470
2279,07/24,,,Residents,147862,146720
2280,07/24,,,Total,265905,263519
2281,07/25,,,Inbound Commuters,25837,28563
2282,07/25,,,Out-of-Market Visitors,103668,86994
2283,07/25,,,Residents,144807,147741
2284,07/25,,,Total,274312,263298
2285,07/26,,,Inbound Commuters,14479,27071
2286,07/26,,,Out-of-Market Visitors,110011,108242
2287,07/26,,,Residents,141748,146326
2288,07/26,,,Total,266238,281639
2289,07/27,,,Inbound Commuters,12943,14683
2290,07/27,,,Out-of-Market Visitors,87439,100002
2291,07/27,,,Residents,148007,143621
2292,07/27,,,Total,248389,258306
2293,07/28,,,Inbound Commuters,27976,13178
2294,07/28,,,Out-of-Market Visitors,84909,91321
2295,07/28,,,Residents,150786,147152
2296,07/28,,,Total,263671,251651
2297,07/29,,,Inbound Commuters,28371,27430
2298,07/29,,,Out-of-Market Visitors,80122,90006
2299,07/29,,,Residents,151021,149597
2300,07/29,,,Total,259514,267033
2301,07/30,,,Inbound Commuters,28910,28153
2302,07/30,,,Out-of-Market Visitors,82652,82616
2303,07/30,,,Residents,149360,149905
2304,07/30,,,Total,260922,260674
2305,07/31,,,Inbound Commuters,28861,29158
2306,07/31,,,Out-of-Market Visitors,91295,87172
2307,07/31,,,Residents,149979,148302
2308,07/31,,,Total,270135,264632
2309,08/01,,,Inbound Commuters,25623,30334
2310,08/01,,,Out-of-Market Visitors,100923,85816
2311,08/01,,,Residents,148204,148749
2312,08/01,,,Total,274750,264899
2313,08/02,,,Inbound Commuters,14431,27423
2314,08/02,,,Out-of-Market Visitors,112485,107371
2315,08/02,,,Residents,144178,147658
2316,08/02,,,Total,271094,282452
2317,08/03,,,Inbound Commuters,12942,14738
2318,08/03,,,Out-of-Market Visitors,88756,103208
2319,08/03,,,Residents,149217,144251
2320,08/03,,,Total,250915,262197
2321,08/04,,,Inbound Commuters,27771,12726
2322,08/04,,,Out-of-Market Visitors,81022,84668
2323,08/04,,,Residents,150849,147684
2324,08/04,,,Total,259642,245078
2325,08/05,,,Inbound Commuters,28485,29832
2326,08/05,,,Out-of-Market Visitors,69782,81475
2327,08/05,,,Residents,148749,150860
2328,08/05,,,Total,247016,262167
2329,08/06,,,Inbound Commuters,29072,30591
2330,08/06,,,Out-of-Market Visitors,77758,81245
2331,08/06,,,Residents,149944,150669
2332,08/06,,,Total,256774,262505
2333,08/07,,,Inbound Commuters,29422,30225
2334,08/07,,,Out-of-Market Visitors,84978,79626
2335,08/07,,,Residents,150716,149106
2336,08/07,,,Total,265116,258957
2337,08/08,,,Inbound Commuters,27717,30066
2338,08/08,,,Out-of-Market Visitors,96968,81326
2339,08/08,,,Residents,151615,148443
2340,08/08,,,Total,276300,259835
2341,08/09,,,Inbound Commuters,15419,29377
2342,08/09,,,Out-of-Market Visitors,103641,99331
2343,08/09,,,Residents,145887,148685
2344,08/09,,,Total,264947,277393
2345,08/10,,,Inbound Commuters,13291,15944
2346,08/10,,,Out-of-Market Visitors,85461,112494
2347,08/10,,,Residents,148758,145639
2348,08/10,,,Total,247510,274077
2349,08/11,,,Inbound Commuters,29373,13242
2350,08/11,,,Out-of-Market Visitors,76851,90138
2351,08/11,,,Residents,150872,148418
2352,08/11,,,Total,257096,251798
2353,08/12,,,Inbound Commuters,29606,30122
2354,08/12,,,Out-of-Market Visitors,70677,77314
2355,08/12,,,Residents,152352,149143
2356,08/12,,,Total,252635,256579
2357,08/13,,,Inbound Commuters,31284,29536
2358,08/13,,,Out-of-Market Visitors,77492,73827
2359,08/13,,,Residents,152613,148855
2360,08/13,,,Total,261389,252218
2361,08/14,,,Inbound Commuters,30734,29184
2362,08/14,,,Out-of-Market Visitors,82443,77477
2363,08/14,,,Residents,151634,148106
2364,08/14,,,Total,264811,254767
2365,08/15,,,Inbound Commuters,28924,29248
2366,08/15,,,Out-of-Market Visitors,102870,89486
2367,08/15,,,Residents,150520,148675
2368,08/15,,,Total,282314,267409
2369,08/16,,,Inbound Commuters,14637,28230
2370,08/16,,,Out-of-Market Visitors,108334,98033
2371,08/16,,,Residents,147709,148156
2372,08/16,,,Total,270680,274419
2373,08/17,,,Inbound Commuters,13076,14869
2374,08/17,,,Out-of-Market Visitors,78944,109399
2375,08/17,,,Residents,151937,144535
2376,08/17,,,Total,243957,268803
2377,08/18,,,Inbound Commuters,29125,13635
2378,08/18,,,Out-of-Market Visitors,72568,83401
2379,08/18,,,Residents,150876,150664
2380,08/18,,,Total,252569,247700
2381,08/19,,,Inbound Commuters,31129,30037
2382,08/19,,,Out-of-Market Visitors,68556,71821
2383,08/19,,,Residents,151368,149848
2384,08/19,,,Total,251053,251706
2385,08/20,,,Inbound Commuters,30416,29745
2386,08/20,,,Out-of-Market Visitors,70394,75461
2387,08/20,,,Residents,150851,151077
2388,08/20,,,Total,251661,256283
2389,08/21,,,Inbound Commuters,29964,30116
2390,08/21,,,Out-of-Market Visitors,87015,75893
2391,08/21,,,Residents,149071,152781
2392,08/21,,,Total,266050,258790
2393,08/22,,,Inbound Commuters,27658,30080
2394,08/22,,,Out-of-Market Visitors,84850,82950
2395,08/22,,,Residents,147195,152222
2396,08/22,,,Total,259703,265252
2397,08/23,,,Inbound Commuters,14083,29466
2398,08/23,,,Out-of-Market Visitors,90501,90289
2399,08/23,,,Residents,142606,151867
2400,08/23,,,Total,247190,271622
2401,08/24,,,Inbound Commuters,13058,14537
2402,08/24,,,Out-of-Market Visitors,74822,95840
2403,08/24,,,Residents,148426,148778
2404,08/24,,,Total,236306,259155
2405,08/25,,,Inbound Commuters,29441,13171
2406,08/25,,,Out-of-Market Visitors,73809,76474
2407,08/25,,,Residents,148516,152235
2408,08/25,,,Total,251766,241880
2409,08/26,,,Inbound Commuters,29237,29476
2410,08/26,,,Out-of-Market Visitors,76572,75678
2411,08/26,,,Residents,149143,152455
2412,08/26,,,Total,254952,257609
2413,08/27,,,Inbound Commuters,29197,31536
2414,08/27,,,Out-of-Market Visitors,74940,78832
2415,08/27,,,Residents,149010,152242
2416,08/27,,,Total,253147,262610
2417,08/28,,,Inbound Commuters,28889,31652
2418,08/28,,,Out-of-Market Visitors,80474,77296
2419,08/28,,,Residents,148201,151957
2420,08/28,,,Total,257564,260905
2421,08/29,,,Inbound Commuters,27026,30345
2422,08/29,,,Out-of-Market Visitors,97706,79085
2423,08/29,,,Residents,146554,152106
2424,08/29,,,Total,271286,261536
2425,08/30,,,Inbound Commuters,11541,27468
2426,08/30,,,Out-of-Market Visitors,84915,100325
2427,08/30,,,Residents,138384,150672
2428,08/30,,,Total,234840,278465
2429,08/31,,,Inbound Commuters,10708,12343
2430,08/31,,,Out-of-Market Visitors,82554,90588
2431,08/31,,,Residents,137454,140722
2432,08/31,,,Total,230716,243653
2433,09/01,,,Inbound Commuters,,11338
2434,09/01,,,Out-of-Market Visitors,,88026
2435,09/01,,,Residents,,141879
2436,09/01,,,Total,,241243
2437,09/02,,,Inbound Commuters,,11357
2438,09/02,,,Out-of-Market Visitors,,80035
2439,09/02,,,Residents,,151297
2440,09/02,,,Total,,242689
2441,09/03,,,Inbound Commuters,,30220
2442,09/03,,,Out-of-Market Visitors,,71047
2443,09/03,,,Residents,,151526
2444,09/03,,,Total,,252793
2445,09/04,,,Inbound Commuters,,30536
2446,09/04,,,Out-of-Market Visitors,,73992
2447,09/04,,,Residents,,152388
2448,09/04,,,Total,,256916
2449,09/05,,,Inbound Commuters,,30067
2450,09/05,,,Out-of-Market Visitors,,87776
2451,09/05,,,Residents,,151597
2452,09/05,,,Total,,269440
2453,09/06,,,Inbound Commuters,,27692
2454,09/06,,,Out-of-Market Visitors,,89552
2455,09/06,,,Residents,,151934
2456,09/06,,,Total,,269178
2457,09/07,,,Inbound Commuters,,13580
2458,09/07,,,Out-of-Market Visitors,,109280
2459,09/07,,,Residents,,149240
2460,09/07,,,Total,,272100
2461,09/08,,,Inbound Commuters,,13007
2462,09/08,,,Out-of-Market Visitors,,80413
2463,09/08,,,Residents,,152271
2464,09/08,,,Total,,245691
2465,09/09,,,Inbound Commuters,,30564
2466,09/09,,,Out-of-Market Visitors,,74162
2467,09/09,,,Residents,,153624
2468,09/09,,,Total,,258350
2469,09/10,,,Inbound Commuters,,30287
2470,09/10,,,Out-of-Market Visitors,,72210
2471,09/10,,,Residents,,152579
2472,09/10,,,Total,,255076
2473,09/11,,,Inbound Commuters,,30760
2474,09/11,,,Out-of-Market Visitors,,73202
2475,09/11,,,Residents,,152789
2476,09/11,,,Total,,256751
2477,09/12,,,Inbound Commuters,,29738
2478,09/12,,,Out-of-Market Visitors,,77903
2479,09/12,,,Residents,,152074
2480,09/12,,,Total,,259715
2481,09/13,,,Inbound Commuters,,28942
2482,09/13,,,Out-of-Market Visitors,,91476
2483,09/13,,,Residents,,151915
2484,09/13,,,Total,,272333
2485,09/14,,,Inbound Commuters,,12877
2486,09/14,,,Out-of-Market Visitors,,87252
2487,09/14,,,Residents,,147271
2488,09/14,,,Total,,247400
2489,09/15,,,Inbound Commuters,,12489
2490,09/15,,,Out-of-Market Visitors,,78307
2491,09/15,,,Residents,,151603
2492,09/15,,,Total,,242399
2493,09/16,,,Inbound Commuters,,29531
2494,09/16,,,Out-of-Market Visitors,,68117
2495,09/16,,,Residents,,153438
2496,09/16,,,Total,,251086
2497,09/17,,,Inbound Commuters,,30978
2498,09/17,,,Out-of-Market Visitors,,74974
2499,09/17,,,Residents,,151203
2500,09/17,,,Total,,257155
2501,09/18,,,Inbound Commuters,,29776
2502,09/18,,,Out-of-Market Visitors,,72563
2503,09/18,,,Residents,,150559
2504,09/18,,,Total,,252898
2505,09/19,,,Inbound Commuters,,30796
2506,09/19,,,Out-of-Market Visitors,,84070
2507,09/19,,,Residents,,151124
2508,09/19,,,Total,,265990
2509,09/20,,,Inbound Commuters,,28014
2510,09/20,,,Out-of-Market Visitors,,94486
2511,09/20,,,Residents,,150247
2512,09/20,,,Total,,272747
2513,09/21,,,Inbound Commuters,,13970
2514,09/21,,,Out-of-Market Visitors,,89708
2515,09/21,,,Residents,,145342
2516,09/21,,,Total,,249020
2517,09/22,,,Inbound Commuters,,12420
2518,09/22,,,Out-of-Market Visitors,,79677
2519,09/22,,,Residents,,150826
2520,09/22,,,Total,,242923
2521,09/23,,,Inbound Commuters,,29380
2522,09/23,,,Out-of-Market Visitors,,73191
2523,09/23,,,Residents,,152424
2524,09/23,,,Total,,254995
2525,09/24,,,Inbound Commuters,,29785
2526,09/24,,,Out-of-Market Visitors,,73991
2527,09/24,,,Residents,,151136
2528,09/24,,,Total,,254912
2529,09/25,,,Inbound Commuters,,29185
2530,09/25,,,Out-of-Market Visitors,,78141
2531,09/25,,,Residents,,151214
2532,09/25,,,Total,,258540
2533,09/26,,,Inbound Commuters,,28215
2534,09/26,,,Out-of-Market Visitors,,68662
2535,09/26,,,Residents,,152797
2536,09/26,,,Total,,249674
2537,09/27,,,Inbound Commuters,,27869
2538,09/27,,,Out-of-Market Visitors,,94698
2539,09/27,,,Residents,,152794
2540,09/27,,,Total,,275361
2541,09/28,,,Inbound Commuters,,13639
2542,09/28,,,Out-of-Market Visitors,,84521
2543,09/28,,,Residents,,145164
2544,09/28,,,Total,,243324
2545,09/29,,,Inbound Commuters,,11971
2546,09/29,,,Out-of-Market Visitors,,77501
2547,09/29,,,Residents,,150581
2548,09/29,,,Total,,240053
2549,09/30,,,Inbound Commuters,,28952
2550,09/30,,,Out-of-Market Visitors,,74630
2551,09/30,,,Residents,,151854
2552,09/30,,,Total,,255436
2553,10/01,,,Inbound Commuters,,30195
2554,10/01,,,Out-of-Market Visitors,,75597
2555,10/01,,,Residents,,151653
2556,10/01,,,Total,,257445
2557,10/02,,,Inbound Commuters,,29907
2558,10/02,,,Out-of-Market Visitors,,77957
2559,10/02,,,Residents,,150591
2560,10/02,,,Total,,258455
2561,10/03,,,Inbound Commuters,,29607
2562,10/03,,,Out-of-Market Visitors,,85942
2563,10/03,,,Residents,,151445
2564,10/03,,,Total,,266994
2565,10/04,,,Inbound Commuters,,27717
2566,10/04,,,Out-of-Market Visitors,,116727
2567,10/04,,,Residents,,152862
2568,10/04,,,Total,,297306
2569,10/05,,,Inbound Commuters,,14858
2570,10/05,,,Out-of-Market Visitors,,136398
2571,10/05,,,Residents,,148060
2572,10/05,,,Total,,299316
2573,10/06,,,Inbound Commuters,,11397
2574,10/06,,,Out-of-Market Visitors,,100199
2575,10/06,,,Residents,,152299
2576,10/06,,,Total,,263895
2577,10/07,,,Inbound Commuters,,29359
2578,10/07,,,Out-of-Market Visitors,,77097
2579,10/07,,,Residents,,151759
2580,10/07,,,Total,,258215
2581,10/08,,,Inbound Commuters,,29830
2582,10/08,,,Out-of-Market Visitors,,91088
2583,10/08,,,Residents,,151558
2584,10/08,,,Total,,272476
2585,10/09,,,Inbound Commuters,,29577
2586,10/09,,,Out-of-Market Visitors,,86351
2587,10/09,,,Residents,,150715
2588,10/09,,,Total,,266643
2589,10/10,,,Inbound Commuters,,29476
2590,10/10,,,Out-of-Market Visitors,,95077
2591,10/10,,,Residents,,151755
2592,10/10,,,Total,,276308
2593,10/11,,,Inbound Commuters,,27431
2594,10/11,,,Out-of-Market Visitors,,114376
2595,10/11,,,Residents,,149694
2596,10/11,,,Total,,291501
2597,10/12,,,Inbound Commuters,,14332
2598,10/12,,,Out-of-Market Visitors,,121408
2599,10/12,,,Residents,,143786
2600,10/12,,,Total,,279526
2601,10/13,,,Inbound Commuters,,13110
2602,10/13,,,Out-of-Market Visitors,,96474
2603,10/13,,,Residents,,147710
2604,10/13,,,Total,,257294
2605,10/14,,,Inbound Commuters,,23563
2606,10/14,,,Out-of-Market Visitors,,77193
2607,10/14,,,Residents,,149639
2608,10/14,,,Total,,250395
2609,10/15,,,Inbound Commuters,,29771
2610,10/15,,,Out-of-Market Visitors,,74353
2611,10/15,,,Residents,,149388
2612,10/15,,,Total,,253512
2613,10/16,,,Inbound Commuters,,29433
2614,10/16,,,Out-of-Market Visitors,,77456
2615,10/16,,,Residents,,150260
2616,10/16,,,Total,,257149
2617,10/17,,,Inbound Commuters,,29674
2618,10/17,,,Out-of-Market Visitors,,80609
2619,10/17,,,Residents,,150579
2620,10/17,,,Total,,260862
2621,10/18,,,Inbound Commuters,,27289
2622,10/18,,,Out-of-Market Visitors,,96958
2623,10/18,,,Residents,,149452
2624,10/18,,,Total,,273699
2625,10/19,,,Inbound Commuters,,14480
2626,10/19,,,Out-of-Market Visitors,,101469
2627,10/19,,,Residents,,143999
2628,10/19,,,Total,,259948
2629,10/20,,,Inbound Commuters,,12583
2630,10/20,,,Out-of-Market Visitors,,88001
2631,10/20,,,Residents,,147749
2632,10/20,,,Total,,248333
2633,10/21,,,Inbound Commuters,,29029
2634,10/21,,,Out-of-Market Visitors,,68083
2635,10/21,,,Residents,,149703
2636,10/21,,,Total,,246815
2637,10/22,,,Inbound Commuters,,29715
2638,10/22,,,Out-of-Market Visitors,,69854
2639,10/22,,,Residents,,149432
2640,10/22,,,Total,,249001
2641,10/23,,,Inbound Commuters,,29382
2642,10/23,,,Out-of-Market Visitors,,90007
2643,10/23,,,Residents,,148390
2644,10/23,,,Total,,267779
2645,10/24,,,Inbound Commuters,,29250
2646,10/24,,,Out-of-Market Visitors,,90899
2647,10/24,,,Residents,,147951
2648,10/24,,,Total,,268100
2649,10/25,,,Inbound Commuters,,26801
2650,10/25,,,Out-of-Market Visitors,,83827
2651,10/25,,,Residents,,147204
2652,10/25,,,Total,,257832
2653,10/26,,,Inbound Commuters,,12317
2654,10/26,,,Out-of-Market Visitors,,83121
2655,10/26,,,Residents,,140017
2656,10/26,,,Total,,235455
2657,10/27,,,Inbound Commuters,,11369
2658,10/27,,,Out-of-Market Visitors,,82875
2659,10/27,,,Residents,,148093
2660,10/27,,,Total,,242337
2661,10/28,,,Inbound Commuters,,29362
2662,10/28,,,Out-of-Market Visitors,,68062
2663,10/28,,,Residents,,151365
2664,10/28,,,Total,,248789
2665,10/29,,,Inbound Commuters,,30081
2666,10/29,,,Out-of-Market Visitors,,71457
2667,10/29,,,Residents,,149972
2668,10/29,,,Total,,251510
2669,10/30,,,Inbound Commuters,,30278
2670,10/30,,,Out-of-Market Visitors,,70602
2671,10/30,,,Residents,,150176
2672,10/30,,,Total,,251056
2673,10/31,,,Inbound Commuters,,29948
2674,10/31,,,Out-of-Market Visitors,,70507
2675,10/31,,,Residents,,150215
2676,10/31,,,Total,,250670
2677,11/01,,,Inbound Commuters,,27811
2678,11/01,,,Out-of-Market Visitors,,87633
2679,11/01,,,Residents,,150060
2680,11/01,,,Total,,265504
2681,11/02,,,Inbound Commuters,,14527
2682,11/02,,,Out-of-Market Visitors,,91416
2683,11/02,,,Residents,,147064
2684,11/02,,,Total,,253007
2685,11/03,,,Inbound Commuters,,12759
2686,11/03,,,Out-of-Market Visitors,,79610
2687,11/03,,,Residents,,154031
2688,11/03,,,Total,,246400
2689,11/04,,,Inbound Commuters,,29360
2690,11/04,,,Out-of-Market Visitors,,70982
2691,11/04,,,Residents,,153665
2692,11/04,,,Total,,254007
2693,11/05,,,Inbound Commuters,,29758
2694,11/05,,,Out-of-Market Visitors,,73505
2695,11/05,,,Residents,,154308
2696,11/05,,,Total,,257571
2697,11/06,,,Inbound Commuters,,29783
2698,11/06,,,Out-of-Market Visitors,,74310
2699,11/06,,,Residents,,152524
2700,11/06,,,Total,,256617
2701,11/07,,,Inbound Commuters,,30571
2702,11/07,,,Out-of-Market Visitors,,79843
2703,11/07,,,Residents,,151270
2704,11/07,,,Total,,261684
2705,11/08,,,Inbound Commuters,,28453
2706,11/08,,,Out-of-Market Visitors,,94425
2707,11/08,,,Residents,,150234
2708,11/08,,,Total,,273112
2709,11/09,,,Inbound Commuters,,13744
2710,11/09,,,Out-of-Market Visitors,,88583
2711,11/09,,,Residents,,145955
2712,11/09,,,Total,,248282
2713,11/10,,,Inbound Commuters,,11344
2714,11/10,,,Out-of-Market Visitors,,81577
2715,11/10,,,Residents,,150348
2716,11/10,,,Total,,243269
2717,11/11,,,Inbound Commuters,,22344
2718,11/11,,,Out-of-Market Visitors,,78858
2719,11/11,,,Residents,,152003
2720,11/11,,,Total,,253205
2721,11/12,,,Inbound Commuters,,29049
2722,11/12,,,Out-of-Market Visitors,,70158
2723,11/12,,,Residents,,150844
2724,11/12,,,Total,,250051
2725,11/13,,,Inbound Commuters,,29651
2726,11/13,,,Out-of-Market Visitors,,71135
2727,11/13,,,Residents,,150197
2728,11/13,,,Total,,250983
2729,11/14,,,Inbound Commuters,,29391
2730,11/14,,,Out-of-Market Visitors,,86566
2731,11/14,,,Residents,,149022
2732,11/14,,,Total,,264979
2733,11/15,,,Inbound Commuters,,28858
2734,11/15,,,Out-of-Market Visitors,,91529
2735,11/15,,,Residents,,147718
2736,11/15,,,Total,,268105
2737,11/16,,,Inbound Commuters,,15513
2738,11/16,,,Out-of-Market Visitors,,102765
2739,11/16,,,Residents,,144871
2740,11/16,,,Total,,263149
2741,11/17,,,Inbound Commuters,,12585
2742,11/17,,,Out-of-Market Visitors,,80481
2743,11/17,,,Residents,,147853
2744,11/17,,,Total,,240919
2745,11/18,,,Inbound Commuters,,28856
2746,11/18,,,Out-of-Market Visitors,,68185
2747,11/18,,,Residents,,150039
2748,11/18,,,Total,,247080
2749,11/19,,,Inbound Commuters,,28709
2750,11/19,,,Out-of-Market Visitors,,67881
2751,11/19,,,Residents,,149205
2752,11/19,,,Total,,245795
