OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
1586,02/01,,,Out-of-Market Visitors,86193,75493
1587,02/01,,,Residents,144514,148935
1588,02/01,,,Total,246316,254301
1589,02/02,,,Inbound Commuters,12504,28971
1590,02/02,,,Out-of-Market Visitors,65580,84688
1591,02/02,,,Residents,148522,147119
1592,02/02,,,Total,226606,260778
1593,02/03,,,Inbound Commuters,29613,16014
1594,02/03,,,Out-of-Market Visitors,65227,88566
1595,02/03,,,Residents,148818,146002
1596,02/03,,,Total,243658,250582
1597,02/04,,,Inbound Commuters,29417,10620
1598,02/04,,,Out-of-Market Visitors,62340,60027
1599,02/04,,,Residents,147746,149113
1600,02/04,,,Total,239503,219760
1601,02/05,,,Inbound Commuters,30027,28442
1602,02/05,,,Out-of-Market Visitors,63703,66865
1603,02/05,,,Residents,147279,149696
1604,02/05,,,Total,241009,245003
1605,02/06,,,Inbound Commuters,30205,29213
1606,02/06,,,Out-of-Market Visitors,68456,75191
1607,02/06,,,Residents,147185,147879
1608,02/06,,,Total,245846,252283
1609,02/07,,,Inbound Commuters,28674,29547
1610,02/07,,,Out-of-Market Visitors,93825,77545
1611,02/07,,,Residents,148326,147830
1612,02/07,,,Total,270825,254922
1613,02/08,,,Inbound Commuters,15623,29871
1614,02/08,,,Out-of-Market Visitors,93982,82320
1615,02/08,,,Residents,144079,148134
1616,02/08,,,Total,253684,260325
1617,02/09,,,Inbound Commuters,11828,28242
1618,02/09,,,Out-of-Market Visitors,78534,113161
1619,02/09,,,Residents,148301,146623
1620,02/09,,,Total,238663,288026
1621,02/10,,,Inbound Commuters,29353,15748
1622,02/10,,,Out-of-Market Visitors,64981,105161
1623,02/10,,,Residents,149772,141396
1624,02/10,,,Total,244106,262305
1625,02/11,,,Inbound Commuters,29208,12113
1626,02/11,,,Out-of-Market Visitors,78392,75316
1627,02/11,,,Residents,149901,146637
1628,02/11,,,Total,257501,234066
1629,02/12,,,Inbound Commuters,28554,27009
1630,02/12,,,Out-of-Market Visitors,75169,64847
1631,02/12,,,Residents,149350,147182
1632,02/12,,,Total,253073,239038
1633,02/13,,,Inbound Commuters,29783,29190
1634,02/13,,,Out-of-Market Visitors,92533,84059
1635,02/13,,,Residents,148545,147053
1636,02/13,,,Total,270861,260302
1637,02/14,,,Inbound Commuters,28690,29232
1638,02/14,,,Out-of-Market Visitors,90790,88960
1639,02/14,,,Residents,147217,148444
1640,02/14,,,Total,266697,266636
1641,02/15,,,Inbound Commuters,13831,28639
1642,02/15,,,Out-of-Market Visitors,84041,80696
1643,02/15,,,Residents,141047,147712
1644,02/15,,,Total,238919,257047
1645,02/16,,,Inbound Commuters,12700,27069
1646,02/16,,,Out-of-Market Visitors,70801,99852
1647,02/16,,,Residents,147325,146493
1648,02/16,,,Total,230826,273414
1649,02/17,,,Inbound Commuters,25106,12939
1650,02/17,,,Out-of-Market Visitors,80063,88750
1651,02/17,,,Residents,150479,140019
1652,02/17,,,Total,255648,241708
1653,02/18,,,Inbound Commuters,29969,11762
1654,02/18,,,Out-of-Market Visitors,82123,80450
1655,02/18,,,Residents,150045,143862
1656,02/18,,,Total,262137,236074
1657,02/19,,,Inbound Commuters,30320,24210
1658,02/19,,,Out-of-Market Visitors,81644,80404
1659,02/19,,,Residents,150433,147112
1660,02/19,,,Total,262397,251726
1661,02/20,,,Inbound Commuters,29179,29922
1662,02/20,,,Out-of-Market Visitors,78604,73409
1663,02/20,,,Residents,149388,146940
1664,02/20,,,Total,257171,250271
1665,02/21,,,Inbound Commuters,27877,31460
1666,02/21,,,Out-of-Market Visitors,93197,79969
1667,02/21,,,Residents,149633,146726
1668,02/21,,,Total,270707,258155
1669,02/22,,,Inbound Commuters,15946,29508
1670,02/22,,,Out-of-Market Visitors,91648,85196
1671,02/22,,,Residents,144527,146707
1672,02/22,,,Total,252121,261411
1673,02/23,,,Inbound Commuters,11797,28596
1674,02/23,,,Out-of-Market Visitors,71880,100556
1675,02/23,,,Residents,149783,144627
1676,02/23,,,Total,233460,273779
1677,02/24,,,Inbound Commuters,29507,15568
1678,02/24,,,Out-of-Market Visitors,67968,105942
1679,02/24,,,Residents,151522,140911
1680,02/24,,,Total,248997,262421
1681,02/25,,,Inbound Commuters,30345,12789
1682,02/25,,,Out-of-Market Visitors,75340,84735
1683,02/25,,,Residents,150518,146764
1684,02/25,,,Total,256203,244288
1685,02/26,,,Inbound Commuters,29241,29982
1686,02/26,,,Out-of-Market Visitors,78761,68790
1687,02/26,,,Residents,149893,146835
1688,02/26,,,Total,257895,245607
1689,02/27,,,Inbound Commuters,28928,30039
1690,02/27,,,Out-of-Market Visitors,85024,82503
1691,02/27,,,Residents,151381,146175
1692,02/27,,,Total,265333,258717
1693,02/28,,,Inbound Commuters,27067,31059
1694,02/28,,,Out-of-Market Visitors,97025,75918
1695,02/28,,,Residents,150326,146439
1696,02/28,,,Total,274418,253416
1697,03/01,,,Inbound Commuters,13162,28800
1698,03/01,,,Out-of-Market Visitors,95208,93646
1699,03/01,,,Residents,144733,145512
1700,03/01,,,Total,253103,267958
1701,03/02,,,Inbound Commuters,12970,14920
1702,03/02,,,Out-of-Market Visitors,85899,107220
1703,03/02,,,Residents,149234,142631
1704,03/02,,,Total,248103,264771
1705,03/03,,,Inbound Commuters,30169,13040
1706,03/03,,,Out-of-Market Visitors,76207,82903
1707,03/03,,,Residents,150036,147511
1708,03/03,,,Total,256412,243454
1709,03/04,,,Inbound Commuters,29111,30355
1710,03/04,,,Out-of-Market Visitors,70645,74443
1711,03/04,,,Residents,148438,148607
1712,03/04,,,Total,248194,253405
1713,03/05,,,Inbound Commuters,30263,30850
1714,03/05,,,Out-of-Market Visitors,80935,71306
1715,03/05,,,Residents,148488,146224
1716,03/05,,,Total,259686,248380
1717,03/06,,,Inbound Commuters,29850,31455
1718,03/06,,,Out-of-Market Visitors,82918,80800
1719,03/06,,,Residents,147875,147604
1720,03/06,,,Total,260643,259859
1721,03/07,,,Inbound Commuters,27567,30565
1722,03/07,,,Out-of-Market Visitors,99177,90706
1723,03/07,,,Residents,147655,147517
1724,03/07,,,Total,274399,268788
1725,03/08,,,Inbound Commuters,15122,28454
1726,03/08,,,Out-of-Market Visitors,102303,96067
1727,03/08,,,Residents,143147,146751
1728,03/08,,,Total,260572,271272
1729,03/09,,,Inbound Commuters,12310,15003
1730,03/09,,,Out-of-Market Visitors,85858,108678
1731,03/09,,,Residents,154418,143299
1732,03/09,,,Total,252586,266980
1733,03/10,,,Inbound Commuters,29739,14801
1734,03/10,,,Out-of-Market Visitors,72376,102894
1735,03/10,,,Residents,149357,153736
1736,03/10,,,Total,251472,271431
1737,03/11,,,Inbound Commuters,30634,29757
1738,03/11,,,Out-of-Market Visitors,80769,90312
1739,03/11,,,Residents,149530,149598
1740,03/11,,,Total,260933,269667
1741,03/12,,,Inbound Commuters,30587,30035
1742,03/12,,,Out-of-Market Visitors,88480,86886
1743,03/12,,,Residents,150846,149094
1744,03/12,,,Total,269913,266015
1745,03/13,,,Inbound Commuters,30214,30843
1746,03/13,,,Out-of-Market Visitors,93439,86769
1747,03/13,,,Residents,149962,149950
1748,03/13,,,Total,273615,267562
1749,03/14,,,Inbound Commuters,28519,30767
